PI_ID	ORG_NAME	DIRECT_COST_AMT	TOTAL_COST
1889666	UNIV OF NORTH CAROLINA CHAPEL HILL	400000.0	608000.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	6409658.0	5754875.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	45821418.0	33314267.0
1991449	GEORGE WASHINGTON UNIVERSITY	56626904.0	26924216.0
7897640	BROAD INSTITUTE, INC.	8526300.0	4010000.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	1642.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	113636.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	5230.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	2104.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	1642.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	4209.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	5230.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	2104.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	1642.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	4209.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	5229.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	2104.0	
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	322900.0	344272.0
7897640	BROAD INSTITUTE, INC.	206385.0	237650.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	1567930.0	1740899.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	788802.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	530873.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	248255.0	
2059843	UNIVERSITY OF CALIFORNIA, SAN DIEGO	1881912.0	
2059843	UNIVERSITY OF CALIFORNIA, SAN DIEGO	1307733.0	
2059843	UNIVERSITY OF CALIFORNIA, SAN DIEGO	1188365.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	1397933.0	1430323.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	104790.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	517206.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	775937.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	114266.0	
7897640	BROAD INSTITUTE, INC.	5000000.0	5000000.0
7897640	BROAD INSTITUTE, INC.	22712390.0	23005285.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	9422750.0	9446125.0
